,iv30
ABBV,25.5
ACN,41.9
AEP,22.8
AIZ,30.5
ALLE,30.0
AMAT,51.5
AMP,45.5
AMZN,36.5
AVB,27.8
AVY,37.4
AXP,42.4
BDX,25.0
BF-B,19.0
BMY,19.8
BR,26.0
CARR,35.7
CDW,36.6
CE,37.9
CHTR,33.6
CNC,37.1
CNP,26.7
COP,45.5
CTAS,35.7
CZR,62.4
DG,36.4
DPZ,38.1
DRE,13.9
DXC,52.9
FB,43.4
FTV,34.3
GOOG,33.3
GPC,34.3
HIG,34.0
HST,40.0
JPM,38.8
KR,39.8
OGN,32.2
PG,23.8
PPL,23.3
PRU,38.6
PYPL,55.1
RE,34.1
ROL,37.4
ROST,42.6
UNH,27.6
URI,46.6
V,36.2
VRSK,31.3
WRK,38.0
XOM,38.9
IVV,26.7
IWM,32.9
EWU,36.9
EWG,49.3
EWL,31.8
EWQ,48.4
IEUS,30.0
EWJ,22.9
EWT,33.7
MCHI,36.7
INDA,30.3
EWY,33.3
EWA,26.3
EWH,27.9
EWZ,36.7
EWC,25.1
IEMG,31.1
LQD,11.5
HYG,10.1
SHY,4.3
IEF,11.0
TLT,21.7
SEGA.L,33.81555555555555
IEAA.L,33.81555555555555
HIGH.L,33.81555555555555
JPEA.L,33.81555555555555
IAU,24.3
SLV,35.6
GSG,60.1
REET,16.0
ICLN,40.0
IXN,38.2
IGF,32.6
IUVL.L,33.81555555555555
IUMO.L,33.81555555555555
SPMV.L,33.81555555555555
IEVL.L,33.81555555555555
IEFM.L,33.81555555555555
MVEU.L,33.81555555555555
XLK,33.1
XLF,33.3
XLV,21.4
XLE,39.9
XLY,35.5
XLI,26.7
XLC,29.0
XLU,20.5
XLP,20.1
XLB,28.7
VXX,112.1
